sample_id	haul_id
Upp9_37.CEL	haul_0001
Upp11_5.CEL	haul_0001
Upp10_14.CEL	haul_0001
Gav19_027.CEL	haul_0001
Upp10_35.CEL	haul_0001
Gav18_011.CEL	haul_0001
Upp10_64.CEL	haul_0001
Gav20_44_a.CEL	haul_0001
Gav17_037.CEL	haul_0001
Upp10_47.CEL	haul_0001
Upp10_30.CEL	haul_0001
VaN13_3_a.CEL	haul_0001
Gav20_70_a.CEL	haul_0001
Upp11_22.CEL	haul_0001
Gav20_3_a.CEL	haul_0001
Gav17_035.CEL	haul_0001
Upp11_6.CEL	haul_0001
Upp10_56.CEL	haul_0001
Gav17_052.CEL	haul_0001
Gav19_002.CEL	haul_0001
Gav17_040.CEL	haul_0001
Gav20_45_a.CEL	haul_0001
Upp10_39.CEL	haul_0001
Upp10_19.CEL	haul_0001
Gav19_015.CEL	haul_0001
Upp11_12.CEL	haul_0001
Gav18_015.CEL	haul_0001
Upp11_20.CEL	haul_0001
Gav19_029.CEL	haul_0001
Gav19_016.CEL	haul_0001
Gav20_65_a.CEL	haul_0002
Gav17_003.CEL	haul_0002
Gav18_042.CEL	haul_0002
Gav17_056.CEL	haul_0002
Upp9_19.CEL	haul_0002
Upp11_22.CEL	haul_0002
Upp10_58.CEL	haul_0002
Gav18_034.CEL	haul_0002
VaN13_12_a.CEL	haul_0002
Gav19_031.CEL	haul_0002
Gav17_049.CEL	haul_0002
Gav19_52_a.CEL	haul_0002
Gav18_013.CEL	haul_0002
Gav18_041.CEL	haul_0002
Upp10_13.CEL	haul_0002
Upp10_53.CEL	haul_0002
Upp10_25.CEL	haul_0002
Upp10_11.CEL	haul_0002
Gav18_027.CEL	haul_0002
Gav17_015.CEL	haul_0002
Upp10_54.CEL	haul_0002
Gav20_74_a.CEL	haul_0002
Upp10_21.CEL	haul_0002
Upp10_28.CEL	haul_0002
Upp10_56.CEL	haul_0002
Gav17_054.CEL	haul_0002
Gav20_44_a.CEL	haul_0002
Gav19_027.CEL	haul_0002
Upp10_7.CEL	haul_0002
Gav19_030.CEL	haul_0002
Gav19_38_a.CEL	haul_0003
Upp10_48.CEL	haul_0003
Gav19_026.CEL	haul_0003
Gav17_053.CEL	haul_0003
Gav20_73_a.CEL	haul_0003
Gav18_038.CEL	haul_0003
Upp11_33.CEL	haul_0003
Gav19_029.CEL	haul_0003
Upp10_64.CEL	haul_0003
Upp10_24.CEL	haul_0003
Gav17_042.CEL	haul_0003
Upp11_40.CEL	haul_0003
VaN12_8_a.CEL	haul_0003
Upp11_9.CEL	haul_0003
VaN13_16_a.CEL	haul_0003
Gav19_028.CEL	haul_0003
VaN12_7_a.CEL	haul_0003
Upp9_10.CEL	haul_0003
Gav19_45_a.CEL	haul_0003
Gav18_043.CEL	haul_0003
Upp10_35.CEL	haul_0003
Gav19_50_a.CEL	haul_0003
VaN13_2_a.CEL	haul_0003
Gav17_035.CEL	haul_0003
Upp10_5.CEL	haul_0003
Upp10_56.CEL	haul_0003
Upp11_46.CEL	haul_0003
Gav20_15_a.CEL	haul_0003
Gav17_046.CEL	haul_0003
Upp11_45.CEL	haul_0003
Gav17_055.CEL	haul_0004
VaN12_19_a.CEL	haul_0004
VaN13_12_a.CEL	haul_0004
Gav17_045.CEL	haul_0004
Upp11_38.CEL	haul_0004
Upp10_19.CEL	haul_0004
Upp10_9.CEL	haul_0004
Gav19_018.CEL	haul_0004
Gav19_49_a.CEL	haul_0004
Gav18_034.CEL	haul_0004
Upp10_2.CEL	haul_0004
Gav17_050.CEL	haul_0004
Gav18_056.CEL	haul_0004
Upp11_32.CEL	haul_0004
Upp10_64.CEL	haul_0004
Gav17_003.CEL	haul_0004
Gav20_48_a.CEL	haul_0004
Upp10_47.CEL	haul_0004
Upp10_48.CEL	haul_0004
Upp10_5.CEL	haul_0004
Gav18_042.CEL	haul_0004
Gav18_050.CEL	haul_0004
Gav18_045.CEL	haul_0004
Gav18_033.CEL	haul_0004
Gav20_56_a.CEL	haul_0004
Upp10_22.CEL	haul_0004
Gav20_64_a.CEL	haul_0004
Gav17_007.CEL	haul_0004
Gav20_25_a.CEL	haul_0004
Upp11_10.CEL	haul_0004
Gav18_028.CEL	haul_0005
Gav20_72_a.CEL	haul_0005
Gav18_041.CEL	haul_0005
Gav18_052.CEL	haul_0005
Gav17_017.CEL	haul_0005
Gav18_008.CEL	haul_0005
VaN13_12_a.CEL	haul_0005
Gav18_006.CEL	haul_0005
Upp11_49.CEL	haul_0005
Gav19_021.CEL	haul_0005
Upp10_27.CEL	haul_0005
Gav17_006.CEL	haul_0005
Gav18_012.CEL	haul_0005
Upp11_8.CEL	haul_0005
Gav17_057.CEL	haul_0005
Gav20_25_a.CEL	haul_0005
Upp10_51.CEL	haul_0005
Upp10_29.CEL	haul_0005
Gav20_24_a.CEL	haul_0005
Gav19_48_a.CEL	haul_0005
VaN13_4_a.CEL	haul_0005
Gav18_056.CEL	haul_0005
Gav18_044.CEL	haul_0005
Gav17_005.CEL	haul_0005
VaN12_20_a.CEL	haul_0005
